row,date,state,season,ah,o3,temp,fluP
1,2010-10-03,Alaska,0,5.544667766127318,25.341836734693878,3.5643879307687234,0
2,2010-10-10,Alaska,0,4.6065711612027975,17.607142857142858,0.7298432685900037,0
3,2010-10-17,Alaska,0,4.869240689613725,21.125,1.6094840284420644,0
4,2010-10-24,Alaska,0,4.677297792244549,26.904761904761905,0.49433878045297586,0
5,2010-10-31,Alaska,0,4.112663394676831,24.660714285714285,-1.6707339227400893,0
6,2010-11-07,Alaska,0,3.7840314948110185,36.392857142857146,-3.4709929214244135,4.2306835894010244e-4
7,2010-11-14,Alaska,0,3.1469563867556696,39.892857142857146,-5.083355044234032,0
8,2010-11-21,Alaska,0,4.33578786704065,39.982142857142854,-1.556957338581336,0
9,2010-11-28,Alaska,0,2.595960667848949,38.267857142857146,-9.311577051785266,0
10,2010-12-05,Alaska,0,2.556897625355923,31.142857142857142,-10.511742621064013,4.3120043120043123e-4
11,2010-12-12,Alaska,0,2.08311072803557,35.767857142857146,-12.967829463866172,3.519356460532931e-4
12,2010-12-19,Alaska,0,1.9547125856517489,35.482142857142854,-12.814240821347012,8.522727272727272e-4
13,2010-12-26,Alaska,0,2.295847829700503,38.05357142857143,-13.045866487756966,0.0012802145883500473
14,2011-01-02,Alaska,0,3.762927167515758,41.25,-3.9116075142983995,0.0012535612535612534
15,2011-01-09,Alaska,0,2.1709014294918028,40.92857142857143,-9.549579193560742,0.0057520760411810725
16,2011-01-16,Alaska,0,2.2324860376388322,39.285714285714285,-15.170867298871798,0.007114430572970615
17,2011-01-23,Alaska,0,3.046914141987066,43.089285714285715,-9.100118325411703,0.005918001360460083
18,2011-01-30,Alaska,0,3.2323321725747425,41,-5.811307359961693,0.016622177733288845
19,2011-02-06,Alaska,0,2.922291857027932,41.44642857142857,-8.889550786763726,0.007361511377019547
20,2011-02-13,Alaska,0,2.0187912179022467,43.714285714285715,-12.41493354948247,0.020092420234479606
21,2011-02-20,Alaska,0,2.5668868207870323,44,-7.943248086152221,0.01298467807986576
22,2011-02-27,Alaska,0,1.569789151837775,47.482142857142854,-11.787541146241464,0.024995639102373353
23,2011-03-06,Alaska,0,2.0011680922044546,46.660714285714285,-8.767741259293853,0.016462274769263895
24,2011-03-13,Alaska,0,2.2948351539367824,46.82142857142857,-8.407576080303544,0.010141407202034824
25,2011-03-20,Alaska,0,3.508967632850119,49.785714285714285,-2.7228339084114483,0.011393945671595412
26,2011-03-27,Alaska,0,3.0275702696213025,39.19642857142857,-5.580561895722925,0.004701223424260525
27,2011-04-03,Alaska,0,3.5601795154459226,42.375,-3.489627804191228,0.0037854889589905363
28,2011-04-10,Alaska,0,2.9818394269464434,37.35119047619048,-4.999558745518932,0.0016601806562176445
29,2011-04-17,Alaska,0,3.777568996158797,40.041666666666664,-0.7102122111273775,0.0014538389387645718
30,2011-04-24,Alaska,0,4.817831910348251,42.601190476190474,2.2250811196418803,0
31,2011-05-01,Alaska,0,4.791363085408138,42.75255102040816,1.971059038639554,0.0010410287813839559
32,2011-05-08,Alaska,0,4.576281871347236,43.218820861678005,3.6526735213545303,0
33,2011-05-15,Alaska,0,5.881161303768415,45.75,7.170068149989186,0
34,2011-05-22,Alaska,0,6.839800884697662,46.819160997732425,9.909726999090104,0
35,2011-05-29,Alaska,0,7.369125340619918,38.523809523809526,9.728743009599855,0
36,2011-06-05,Alaska,1,7.32238829761148,38.07851473922903,9.299564070216402,0
37,2011-06-12,Alaska,1,7.6495607372187715,31.767857142857142,9.962551988929517,0
38,2011-06-19,Alaska,1,8.748251471672235,29.28174603174603,11.455598445954413,0
39,2011-06-26,Alaska,1,8.877644542398384,27.342261904761905,11.077023638097135,0
40,2011-07-03,Alaska,1,8.671562486930059,26.205357142857142,11.27775970494284,0
41,2011-07-10,Alaska,1,9.213795406529995,24.427579365079364,11.60513560830976,0
42,2011-07-17,Alaska,1,9.386865836363038,24.3843537414966,12.35590248222702,0
43,2011-07-24,Alaska,1,10.046490631386465,20.66921768707483,12.078351317244126,0
44,2011-08-14,Alaska,1,9.581640624791692,17.796768707482993,11.649135445613277,0
45,2011-08-21,Alaska,1,8.848258239670102,21.763392857142858,10.222956833402549,0
46,2011-08-28,Alaska,1,9.009279744187106,20.35204081632653,10.213424710110235,0
47,2011-09-04,Alaska,0,8.167557692742482,21.81186224489796,9.256402135551049,0
48,2011-09-11,Alaska,0,8.190147526420676,24.919642857142858,9.469692710541286,7.277184112758053e-4
49,2011-09-18,Alaska,0,7.421110084979376,24.808035714285715,7.781982519459932,0
50,2011-09-25,Alaska,0,5.95530720907862,17.47108843537415,4.6426266885208145,2.1341104438949725e-4
