row,date,state,season,ah,o3,temp,fluP
2601,2010-10-01,KY,999,999,999,999,999
2602,2010-10-03,KY,1,6.578460230770901,44.18618080150921,12.014750857890387,-10.421725113588518
2603,2010-10-10,KY,1,8.123823173347024,49.21918552736315,14.715445234453526,-9.33998132621493
2604,2010-10-17,KY,1,5.803954435685568,47.3769654298175,12.913376070851132,-9.33998132621493
2605,2010-10-24,KY,1,8.153811581800273,37.50406571153881,13.083370252300302,-9.33998132621493
2606,2010-10-31,KY,1,4.9938507579488265,38.54506293735223,7.014865657479917,-9.042709326644843
2607,2010-11-07,KY,1,5.045531060479915,48.46383752276828,8.941787497539156,-8.525947408258508
2608,2010-11-14,KY,1,6.292554143007744,32.25174685446325,5.246907985959717,-7.794700378200189
2609,2010-11-21,KY,1,7.291239433011244,31.268419237858804,8.413025199239645,-7.767178311057442
2610,2010-11-28,KY,1,4.549093288434598,28.315722349621428,1.603228598755238,-5.352443517193506
2611,2010-12-05,KY,0,2.419774535067728,31.037550979473927,-3.661653094328746,-6.4896580894452685
2612,2010-12-12,KY,0,2.570897213527889,27.72076770109535,-6.0836875264721675,-5.981528988872971
2613,2010-12-19,KY,0,3.506145288219739,28.04588107978016,-1.936774945257599,-5.705662000298517
2614,2010-12-26,KY,0,4.593462254457943,34.35937314327222,1.2527875210842758,-5.175316365107707
2615,2011-01-02,KY,0,2.5472090994307104,33.03539355143549,-2.6752541484548606,-5.145528242236464
2616,2011-01-09,KY,0,2.1447497109088065,29.40103980993889,-5.70016804234483,-5.971482628581751
2617,2011-01-16,KY,0,3.5716133793269798,28.603420762319843,-2.9578808907957166,-4.912145094713405
2618,2011-01-23,KY,0,3.8868228316686384,31.140835728306236,-0.8990026222033345,-4.799118197119248
2619,2011-01-30,KY,0,4.096458345449974,32.70262711152619,-0.04643851963923229,-4.413280825974395
2620,2011-02-06,KY,0,2.561772460986975,38.004214413113495,-4.671591144791857,-5.004337656073747
2621,2011-02-13,KY,0,5.004487904031484,46.41606248567585,8.079935106734396,-5.727675103421133
2622,2011-02-20,KY,0,5.702134481738307,34.55183346073254,5.682499209298497,-4.961672348116375
2623,2011-02-27,KY,0,6.554898782531108,38.677145469729005,8.425281140286376,-5.5324768860947335
2624,2011-03-06,KY,1,5.290023464590775,39.562523686273046,4.569556596355884,-6.408153821092311
2625,2011-03-13,KY,1,6.657647348737746,40.47632439174041,9.292694569493857,-7.227813782370643
2626,2011-03-20,KY,1,7.202845305792454,41.81157886389965,11.25484353164282,-8.957375214903267
2627,2011-03-27,KY,1,4.157596721540637,43.48148942071497,3.622364899164187,-8.957375214903267
2628,2011-04-03,KY,1,8.137285968862724,47.4841979115187,14.404110930910218,-9.326497844696515
2629,2011-04-10,KY,1,9.265327541768684,47.36639421653822,14.053907239968488,-9.326497844696515
2630,2011-04-17,KY,1,9.602202239671048,44.32754845012017,14.812916800745835,-10.269880126988078
2631,2011-04-24,KY,1,11.589744488786087,47.76119804771837,15.558358071096375,-12.816219616749908
2632,2011-05-01,KY,1,8.860925449915904,45.73514986434326,11.524990051789338,-12.008838895076973
2633,2011-05-08,KY,1,14.883889488412837,46.324024956188985,20.04359420680539,-11.712075199426765
2634,2011-05-15,KY,1,10.521974957735258,36.48601745666831,13.06467259147188,-12.370717855564367
2635,2011-05-22,KY,1,14.872635931072747,43.82248422776909,19.06406209086138,-11.8728139809024
2636,2011-05-29,KY,1,16.5491252035108,56.788266447125295,24.408994935794222,-11.981709572157492
2637,2011-07-04,KY,999,999,999,999,999
2638,2011-10-02,KY,1,8.604466043076277,46.138763376883105,13.72401325081254,-12.094577984500873
2639,2011-10-09,KY,1,10.239722653765766,38.06255439588138,14.988360015159305,-12.252775052229907
2640,2011-10-16,KY,1,6.854732739406207,32.46360308753022,9.904568608034662,-12.189345083412297
2641,2011-10-23,KY,1,7.34748292666511,36.3599526988033,9.81766989137429,-11.710122698504843
